Estado;inicio;varinicio;varfim;PT_V;ID;inteiro;real;literal;leia;escreva;LIT;RCB;NUM;OPM;se;AB_P;FC_P;entao;OPR;fimse;repita;fimrepita;fim;EOF;P;V;LV;D;L;TIPO;A;ES;ARG;CMD;LD;OPRD;COND;CAB;EXP_R;CP;R;CABR;CPR
0;S2;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;1;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
1;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Ac;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
2;Er;S4;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;3;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
3;Er;Er;Er;Er;S24;Er;Er;Er;S22;S23;Er;Er;Er;Er;S27;Er;Er;Er;Er;Er;S28;Er;S21;Er;Er;Er;Er;Er;Er;Er;16;17;Er;18;Er;Er;19;25;Er;Er;20;26;Er
4;Er;Er;S7;Er;Er;S9;S10;S11;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;5;6;Er;8;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
5;Er;Er;Er;Er;R3;Er;Er;Er;R3;R3;Er;Er;Er;Er;R3;Er;Er;Er;Er;Er;R3;Er;R3;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
6;Er;Er;S7;Er;Er;S9;S10;S11;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;12;6;Er;8;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
7;Er;Er;Er;S13;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
8;Er;Er;Er;Er;S15;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;14;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
9;Er;Er;Er;Er;R8;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
10;Er;Er;Er;Er;R9;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
11;Er;Er;Er;Er;R10;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
12;Er;Er;Er;Er;R4;Er;Er;Er;R4;R4;Er;Er;Er;Er;R4;Er;Er;Er;Er;Er;R4;Er;R4;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
13;Er;Er;Er;Er;R5;Er;Er;Er;R5;R5;Er;Er;Er;Er;R5;Er;Er;Er;Er;Er;R5;Er;R5;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
14;Er;Er;Er;S74;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
15;Er;Er;Er;R7;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
16;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;R2;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
17;Er;Er;Er;Er;S24;Er;Er;Er;S22;S23;Er;Er;Er;Er;S27;Er;Er;Er;Er;Er;S28;Er;S21;Er;Er;Er;Er;Er;Er;Er;29;17;Er;18;Er;Er;19;25;Er;Er;20;26;Er
18;Er;Er;Er;Er;S24;Er;Er;Er;S22;S23;Er;Er;Er;Er;S27;Er;Er;Er;Er;Er;S28;Er;S21;Er;Er;Er;Er;Er;Er;Er;30;17;Er;18;Er;Er;19;25;Er;Er;20;26;Er
19;Er;Er;Er;Er;S24;Er;Er;Er;S22;S23;Er;Er;Er;Er;S27;Er;Er;Er;Er;Er;S28;Er;S21;Er;Er;Er;Er;Er;Er;Er;31;17;Er;18;Er;Er;19;25;Er;Er;20;26;Er
20;Er;Er;Er;Er;S24;Er;Er;Er;S22;S23;Er;Er;Er;Er;S27;Er;Er;Er;Er;Er;S28;Er;S21;Er;Er;Er;Er;Er;Er;Er;32;17;Er;18;Er;Er;19;25;Er;Er;20;26;Er
21;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;R38;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er;Er
